video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,days_trending(target),category_name_Autos & Vehicles,category_name_Comedy,category_name_Education,category_name_Entertainment,category_name_Film & Animation,category_name_Gaming,category_name_Howto & Style,category_name_Music,category_name_News & Politics,category_name_Nonprofits & Activism,category_name_People & Blogs,category_name_Pets & Animals,category_name_Science & Technology,category_name_Shows,category_name_Sports,category_name_Travel & Events
-wuvYC0x5lc,2018-04-04,863685,14048,610,912,0.958384499931778,0.0010559405338751,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-xAMnJgc3oA,2018-04-18,306780,15258,181,914,0.9882764427747912,0.0029793337244931,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-xt_j2aIAkg,2017-11-23,1624478,6674,1567,577,0.8098531731585973,0.0003551910213619,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-yMXWp-Fh3g,2018-01-17,142861,5520,141,1248,0.975092739798622,0.0087357641343683,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-zrJwYFJtZo,2018-04-14,532201,15650,228,2379,0.9856405088802116,0.0044701156142134,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0-7wMD5ISIs,2017-12-20,1795145,179466,3239,13123,0.9822719684737692,0.0073102729863047,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0-M5C7sQdGI,2017-12-19,95046,4052,47,226,0.9885337887289584,0.0023777960145613,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0-_h-qFt_zs,2018-02-05,26117,1178,11,79,0.990748528174937,0.0030248497147451,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0-yiRIWkhLo,2018-03-04,319104,8929,130,462,0.985649630202009,0.0014478038507821,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00RpZZThSAs,2018-02-28,353361,18441,641,3665,0.9664081333193586,0.0103718293756243,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00mdcc9o28A,2018-05-23,628234,12672,208,701,0.9838509316770186,0.0011158262685559,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00nmxR1mxIA,2017-12-10,425487,7105,408,701,0.9456941301743644,0.0016475238961472,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01AEuxSlIMg,2018-01-26,29017,480,38,86,0.9266409266409268,0.0029637798531895,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02N508BDngc,2018-01-06,611827,29669,556,4742,0.9816046319272126,0.0077505569384809,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02e9klKUN0Y,2018-02-11,586498,1367,117,169,0.9211590296495956,0.0002881510252379,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
04aPsalAZQI,2018-04-16,195045,8885,237,933,0.9740188555141416,0.0047835114973467,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
069D0NmW39o,2017-11-14,1044813,15397,838,1100,0.9483831228826608,0.0010528199783119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
07JQ4WZJIbg,2018-02-26,89872,431,90,93,0.8272552783109405,0.0010348050560797,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
07S_Glj3uYs,2017-12-23,383425,47687,815,3551,0.9831965692136406,0.0092612636108756,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07Um1PY_P4o,2017-12-27,79556,2213,215,474,0.9114497528830312,0.0059580672733671,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
07bTt0BTi-U,2017-11-26,636454,21191,671,3090,0.96930747415607,0.0048550248721824,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
08OhPK2BVIU,2018-02-23,2771499,282691,2814,14289,0.9901437803190836,0.0051556937238656,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08l0K3UyUXE,2018-03-17,211898,1778,196,469,0.900709219858156,0.0022133290545451,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08nkwgZIE4I,2017-11-14,651036,23338,442,1101,0.9814129520605552,0.0016911507197758,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08vIy0y1N9I,2018-06-12,888895,37218,448,2584,0.9881059841767112,0.0029069800145124,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ANDjPQPS_Q,2017-11-16,17901,2325,50,429,0.9789473684210528,0.0239651416122004,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0AWUKX5D_ak,2018-01-18,7105,92,0,8,1.0,0.0011259676284306,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0C3pC-uonZU,2018-02-04,31273,1189,78,116,0.9384372533543804,0.0037092699772967,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0DVNtFA-_wA,2018-02-15,18985,553,121,71,0.8204747774480712,0.0037397945746642,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0DpCDxoj_Xg,2017-12-13,690533,43217,304,1617,0.9930148663863422,0.0023416694060964,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0EPY1CKFecs,2018-03-28,861415,30214,2061,3973,0.9361425251742836,0.0046121787988367,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
