video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,category_name,days_trending(target)
-v-_Z11T5L4,2017-11-30,30690,1137,18,143,0.9844155844155844,0.004659498207885305,Film & Animation,7
-wuvYC0x5lc,2018-04-04,863685,14048,610,912,0.9583844999317779,0.0010559405338751975,Entertainment,2
-xAMnJgc3oA,2018-04-18,306780,15258,181,914,0.9882764427747911,0.002979333724493122,Music,10
-xt_j2aIAkg,2017-11-23,1624478,6674,1567,577,0.8098531731585973,0.00035519102136193905,Sports,7
-yMXWp-Fh3g,2018-01-17,142861,5520,141,1248,0.9750927397986221,0.008735764134368372,Howto & Style,6
-zrJwYFJtZo,2018-04-14,532201,15650,228,2379,0.9856405088802116,0.004470115614213427,Pets & Animals,7
0-7wMD5ISIs,2017-12-20,1795145,179466,3239,13123,0.9822719684737692,0.007310272986304728,People & Blogs,9
0-M5C7sQdGI,2017-12-19,95046,4052,47,226,0.9885337887289583,0.00237779601456137,Sports,3
0-_h-qFt_zs,2018-02-05,26117,1178,11,79,0.990748528174937,0.003024849714745185,Music,1
0-yiRIWkhLo,2018-03-04,319104,8929,130,462,0.985649630202009,0.00144780385078219,Comedy,1
00RpZZThSAs,2018-02-28,353361,18441,641,3665,0.9664081333193586,0.010371829375624362,Entertainment,11
00mdcc9o28A,2018-05-23,628234,12672,208,701,0.9838509316770186,0.001115826268555984,Comedy,1
00nmxR1mxIA,2017-12-10,425487,7105,408,701,0.9456941301743644,0.0016475238961472384,Entertainment,3
01AEuxSlIMg,2018-01-26,29017,480,38,86,0.9266409266409267,0.0029637798531895096,Autos & Vehicles,7
02N508BDngc,2018-01-06,611827,29669,556,4742,0.9816046319272126,0.007750556938480976,Education,5
02e9klKUN0Y,2018-02-11,586498,1367,117,169,0.9211590296495957,0.0002881510252379377,Entertainment,1
04aPsalAZQI,2018-04-16,195045,8885,237,933,0.9740188555141417,0.004783511497346766,Comedy,3
069D0NmW39o,2017-11-14,1044813,15397,838,1100,0.9483831228826609,0.0010528199783119085,Sports,2
07JQ4WZJIbg,2018-02-26,89872,431,90,93,0.8272552783109405,0.0010348050560797578,Film & Animation,1
07S_Glj3uYs,2017-12-23,383425,47687,815,3551,0.9831965692136406,0.00926126361087566,Music,11
07Um1PY_P4o,2017-12-27,79556,2213,215,474,0.9114497528830313,0.005958067273367188,Entertainment,9
07bTt0BTi-U,2017-11-26,636454,21191,671,3090,0.9693074741560699,0.004855024872182436,Entertainment,5
08OhPK2BVIU,2018-02-23,2771499,282691,2814,14289,0.9901437803190837,0.005155693723865677,Comedy,13
08l0K3UyUXE,2018-03-17,211898,1778,196,469,0.900709219858156,0.0022133290545451115,News & Politics,14
08nkwgZIE4I,2017-11-14,651036,23338,442,1101,0.9814129520605551,0.001691150719775865,Music,1
0C3pC-uonZU,2018-02-04,31273,1189,78,116,0.9384372533543804,0.0037092699772967096,Pets & Animals,3
0DVNtFA-_wA,2018-02-15,18985,553,121,71,0.8204747774480712,0.0037397945746642084,Entertainment,8
0DpCDxoj_Xg,2017-12-13,690533,43217,304,1617,0.9930148663863422,0.00234166940609645,Entertainment,1
0EPY1CKFecs,2018-03-28,861415,30214,2061,3973,0.9361425251742835,0.004612178798836798,Comedy,7
0ETrC_c14ms,2018-04-15,504790,4733,140,1136,0.9712702647239894,0.0022504407773529587,Sports,3
0EbFotkXOiA,2017-12-15,189762,1784,204,1037,0.89738430583501,0.005464740042790443,News & Politics,7
0FBYDz1_EPs,2018-02-22,159410,631,160,190,0.797724399494311,0.0011918951132300357,Sports,1
0GKC_nj7B44,2018-04-30,325769,1129,31,159,0.9732758620689655,0.0004880759065472774,Film & Animation,15
0GQmGOju6CE,2018-01-26,475740,44985,370,7444,0.9918421342740602,0.015647202253331653,Entertainment,6
0H-JHIGRRNM,2018-03-12,145493,5071,126,708,0.9757552434096595,0.00486621349480731,Entertainment,12
0HX039UdGpU,2018-03-15,1671521,48592,3250,3827,0.9373095173797307,0.0022895315105224525,Comedy,13
0I9vWjc9nao,2018-02-01,319019,19477,475,1492,0.9761928628708901,0.0046768374297455634,Entertainment,4
0IC3II1i5yM,2017-12-18,35640,806,225,266,0.7817652764306499,0.0074635241301907965,News & Politics,6
0Juc2cL26mg,2018-01-06,1786869,857,72,165,0.922497308934338,9.234028907547223e-05,Entertainment,4
